data1,data2,data3,data4,data5,data6,data7
3,26.3738877310823,University Phishing Emails,Type,0,Scam,042
1,11.6561396847362,University Phishing Emails,Type,1,Scam,134
1,14.8073596373927,Finance and Banking,Type,0,Safe,008S
1,6.05907316739194,Finance and Banking,Type,0,Safe,011S
1,13.4444319494667,Finance and Banking,Type,0,Safe,028S
2,12.7667575014796,University Phishing Emails,Type,0,Scam,079
1,13.0347925225497,Finance and Banking,Type,0,Safe,004S
1,8.56886814575591,General,Type,0,Safe,025S
1,14.0891224126717,Finance and Banking,Type,0,Safe,003S
3,19.4350998549003,General,Type,0,Scam,026
4,25.0347594476088,General,Type,1,Safe,029S
2,41.9626587225071,Financial,Social Proof,0,Scam,004051l 
2,29.4932621384205,Ideological,Liking,0,Scam,017864e
1,20.6525841285925,University Emails,Type,0,Safe,035S
2,22.9975888368108,Legal,Commitment/Consistency,1,Scam,024142
1,22.158169659232,Social,Commitment/Consistency,0,Scam,029045
3,18.2079431454995,Financial,Social Proof,1,Safe,000251fS
4,20.0839415539335,Finance and Banking,Type,0,Scam,006
1,8.07713473110243,General,Type,0,Safe,014S
1,15.7563752775404,Finance and Banking,Type,0,Safe,012S
1,10.1149271507888,Lottery & Sweepstakes,Type,0,Safe,034S
3,15.1510393634794,Ideological,Perceptual Contrast,0,Scam,027414
2,15.5981126777242,Social,Liking,0,Safe,001465aS
3,14.24611394251,Health,Perceptual Contrast,0,Safe,004816aS
3,24.0456477181433,Ideological,Commitment/Consistency,1,Safe,003144cS 
2,12.9450393707557,Ideological,Social Proof,1,Scam,021554
4,9.44715302485247,General,Type,0,Safe,020S
3,10.6207524747497,General,Type,0,Safe,031S
3,14.7352628812837,Finance and Banking,Type,1,Scam,001
3,15.4223316047269,Social,Liking,1,Safe,001165bS 
4,6.60853624533911,University Phishing Emails,Type,0,Scam,068
4,15.4354057981031,Finance and Banking,Type,0,Scam,009
4,15.8931322200528,University Phishing Emails,Type,0,Scam,084
2,10.1302868225798,Health,Commitment/Consistency,1,Safe,007546cS
1,10.143469832512,Finance and Banking,Type,0,Safe,023S
2,13.6358769837107,Social,Liking,0,Scam,001165b 
2,6.60226060605873,Ideological,Commitment/Consistency,1,Scam,003144c 
3,6.67390324322969,Security,Social Proof,1,Safe,002253cS
2,7.74103578146332,University Phishing Emails,Type,1,Scam,104
2,20.3591032325135,Health,Authority,1,Safe,015836aS
4,4.49682100205837,General,Type,0,Safe,019S
4,11.1813654460138,Health,Scarcity,1,Safe,011076dS 
2,16.9823522038,Security,Liking,1,Safe,002363cS
1,15.6968572521932,Health,Commitment/Consistency,0,Safe,022046cS
3,12.4176581155816,Legal,Scarcity,0,Scam,026172
4,13.5600768264726,Legal,Scarcity,1,Scam,026272
3,17.2926546840563,University Phishing Emails,Type,0,Scam,058
3,12.0464312634927,Security,Reciprocation,1,Scam,006823b
3,11.7145444075732,Finance and Banking,Type,0,Safe,001S
4,5.75744459037833,University Phishing Emails,Type,0,Scam,130
