userId,reactTime,category,type,hasAtt,realId,emailCode
2,8.18627761281095,General,Type,0,Safe,007S
4,7.28980541694909,Social,Commitment/Consistency,0,Safe,029045S
3,16.7303854981437,University Phishing Emails,Type,0,Scam,062
2,5.21282122773118,General,Type,0,Safe,019S
3,13.9448664251249,University Phishing Emails,Type,0,Scam,080
2,8.95693116355687,Ideological,Scarcity,1,Scam,010174a 
2,8.63142831716686,University Phishing Emails,Type,0,Scam,074
1,5.26898244023323,General,Type,1,Safe,021S
2,7.79266788577661,University Phishing Emails,Type,0,Scam,052
4,8.41286660637707,University Phishing Emails,Type,0,Scam,068
2,7.68134862324223,University Phishing Emails,Type,0,Scam,112
1,8.72858357662335,Legal,Commitment/Consistency,1,Scam,024242
3,5.87047001789324,Lottery & Sweepstakes,Type,0,Safe,034S
2,6.82477073301561,University Emails,Type,0,Safe,040S
1,5.891519888537,Legal,Authority,1,Scam,017432d 
2,3.70315260207281,General,Type,0,Safe,031S
3,20.8737960315775,Job Offer,Type,0,Safe,036S
1,15.5640606607776,Health,Scarcity,0,Scam,011076d 
2,17.8717248800676,General,Type,0,Safe,029S
4,3.75245010736398,Financial,Reciprocation,1,Scam,014621b 
1,4.20525897829793,General,Type,0,Safe,013S
1,7.2531719673425,Social,Reciprocation,0,Scam,026325
3,8.09960974892601,General,Type,0,Safe,026S
2,2.17761264578439,University Phishing Emails,Type,0,Scam,090
2,10.294274830725,Social,Authority,1,Safe,009735aS
4,9.85847275238484,Finance and Banking,Type,0,Scam,137
3,14.3135406402871,Social,Scarcity,0,Safe,025175S
3,17.3156647114083,General,Type,1,Safe,039S
1,10.0794158573262,University Phishing Emails,Type,0,Scam,128
3,6.59987649833784,Security,Reciprocation,1,Scam,006823b
4,8.06828515487723,University Phishing Emails,Type,0,Scam,060
2,17.1732897539623,Finance and Banking,Type,0,Safe,022S
2,7.4731575534679,General,Type,0,Safe,005S
1,5.5545000245329,University Phishing Emails,Type,0,Scam,089
4,7.14911165740341,Social,Authority,1,Scam,002135d
2,17.9091355903074,University Phishing Emails,Type,0,Scam,045
