userId,reactTime,category,type,hasAtt,realId,emailCode
1,37.1304217252182,Financial,Authority,0,Scam,003331k
2,54.1122037230525,Legal,Perceptual Contrast,1,Scam,020812
1,42.2994815835264,University Phishing Emails,Type,0,Scam,099
3,11.223973833723,University Phishing Emails,Type,0,Scam,077
1,31.7169874162646,Social,Commitment/Consistency,1,Safe,029045S
2,54.9956731376005,Security,Perceptual Contrast,1,Scam,002913b
1,27.8751801757608,Legal,Liking,0,Scam,006162b
3,40.688373302226,Health,Scarcity,1,Safe,007876cS 
1,14.5680308310548,Finance and Banking,Type,0,Safe,012S
1,26.7067414645571,Social,Perceptual Contrast,0,Safe,027215S
1,15.843124284409,University Emails,Type,0,Safe,040S
1,17.9545113872737,Finance and Banking,Type,0,Safe,011S
1,10.2464664397994,General,Type,0,Safe,025S
1,5.99739435699303,General,Type,0,Safe,013S
4,51.8393044606782,General,Type,0,Scam,025
1,20.0597148014931,University Phishing Emails,Type,0,Scam,090
2,19.6805272672791,Social,Scarcity,0,Scam,025175
1,13.7996416662354,Social,Commitment/Consistency,0,Safe,029145S
3,16.5642166301841,University Phishing Emails,Type,1,Scam,053
1,7.64471637911629,Finance and Banking,Type,0,Safe,023S
1,16.1176842389395,Finance and Banking,Type,0,Safe,003S
1,10.9371460569091,University Phishing Emails,Type,1,Scam,052
1,13.5907294941135,Financial,Perceptual Contrast,0,Safe,009411dS 
1,10.1190065746196,Finance and Banking,Type,0,Safe,004S
3,22.9138093786314,University Phishing Emails,Type,1,Scam,133
1,5.03410984447692,General,Type,1,Safe,021S
4,50.8944595523644,Job Offer,Type,0,Scam,027
3,12.4273502549622,Financial,Perceptual Contrast,0,Safe,020111S
1,13.7541742215399,Security,Perceptual Contrast,1,Safe,002913bS
2,18.7068519347813,Ideological,Perceptual Contrast,1,Safe,027414S
1,17.0262839853531,University Phishing Emails,Type,0,Scam,067
1,16.9116730688838,Legal,Liking,1,Safe,006162bS
1,6.8989187143743,General,Type,0,Safe,024S
1,13.0896062693791,General,Type,0,Safe,027S
4,22.3222080293344,Finance and Banking,Type,0,Scam,139
1,8.2854961801786,Financial,Liking,1,Safe,009861aS 
2,42.3683736858657,Legal,Commitment/Consistency,1,Safe,024142S
1,17.4080927077448,Health,Scarcity,1,Scam,011076d 
2,13.0833303014515,Legal,Authority,1,Scam,017432d 
1,28.3153211674653,Health,Commitment/Consistency,1,Scam,022046c
1,32.484288085252,Security,Commitment/Consistency,0,Scam,021143
3,6.96708184515592,Finance and Banking,Type,0,Scam,004
1,7.69543810724281,Social,Reciprocation,1,Safe,026325S
1,11.8365741252201,Lottery & Sweepstakes,Type,0,Safe,034S
4,23.6926528674085,Finance and Banking,Type,0,Scam,137
3,24.8244051970541,Social,Authority,0,Scam,002135d
1,6.78906397288665,Finance and Banking,Type,0,Safe,032S
1,10.8923612787621,Finance and Banking,Type,0,Safe,008S
3,13.489110740833,Financial,Perceptual Contrast,0,Scam,009411d 
1,6.68756263575051,General,Type,0,Safe,009S
1,9.2467687446624,Legal,Scarcity,1,Safe,026272S
1,6.92338490148541,University Phishing Emails,Type,0,Scam,049
4,3.29384263884276,Finance and Banking,Type,0,Scam,138
2,11.2136124504032,University Phishing Emails,Type,0,Scam,048
1,6.43286351498682,General,Type,0,Safe,005S
1,15.6373701065313,Social,Social Proof,1,Scam,028455
4,13.3117679277202,University Phishing Emails,Type,0,Scam,061
2,7.84813910524826,University Phishing Emails,Type,0,Scam,129
1,16.7852964075282,Security,Authority,0,Safe,000433aS
1,15.3973192108097,University Phishing Emails,Type,1,Scam,120
1,17.5996742780553,Social,Commitment/Consistency,0,Scam,029045
1,18.8480084593175,Legal,Social Proof,0,Safe,025052S
2,19.2248149291845,Security,Perceptual Contrast,0,Scam,006713b
2,12.8060562182218,Finance and Banking,Type,0,Scam,014
1,8.54376243194565,Social,Scarcity,0,Safe,025275S
2,17.8775529711274,Ideological,Commitment/Consistency,1,Safe,003144cS 
1,11.126566842082,Social,Reciprocation,1,Scam,026425
1,13.5742403184995,Security,Commitment/Consistency,1,Safe,021143S
