userId,reactTime,category,type,hasAtt,realId,emailCode
4,13.0248111586989,Security,Perceptual Contrast,1,Scam,006713b
4,10.5174533097743,General,Type,0,Scam,026
4,2.5109960911941,Financial,Reciprocation,1,Scam,019821g
3,11.6442649063683,Financial,Authority,1,Scam,003631g 
2,12.9140663707949,Legal,Scarcity,1,Scam,026172
3,13.3164718443004,University Phishing Emails,Type,1,Scam,104
4,14.6349020552152,University Phishing Emails,Type,0,Scam,061
4,12.9695409662672,Security,Commitment/Consistency,1,Safe,006943bS
1,15.5945433642046,Finance and Banking,Type,0,Scam,014
4,3.05676517923712,Financial,Scarcity,0,Scam,020471
3,10.5615537675912,University Phishing Emails,Type,0,Scam,103
1,1.21760294075648,General,Type,0,Safe,017S
4,11.8059517013317,University Phishing Emails,Type,0,Scam,040
3,25.5462642197526,University Phishing Emails,Type,0,Scam,063
2,20.3803044745728,Job Offer,Type,0,Safe,036S
4,16.471141792892,University Phishing Emails,Type,0,Scam,042
2,13.9931693654653,University Phishing Emails,Type,0,Scam,094
1,9.98564812639961,Ideological,Authority,0,Safe,023334S
2,12.6852110081236,Social,Perceptual Contrast,0,Safe,027115S
3,15.7439795358805,Lottery & Sweepstakes,Type,0,Safe,034S
1,2.6792466060142,Ideological,Social Proof,0,Scam,021554
2,17.9658388893731,Social,Reciprocation,1,Scam,026425
2,7.00573783884465,Security,Authority,0,Safe,000433aS
2,14.7730249470915,University Emails,Type,0,Safe,040S
4,11.0417878587323,University Phishing Emails,Type,0,Scam,058
2,13.7030959457479,University Phishing Emails,Type,1,Scam,129
2,13.7182445943909,General,Type,0,Safe,005S
4,11.8353563062992,Health,Commitment/Consistency,1,Safe,007546cS
3,20.0177238627075,General,Type,0,Safe,030S
4,7.30859141150722,Social,Scarcity,0,Safe,025175S
2,12.7552987691597,Finance and Banking,Type,0,Safe,008S
2,12.9908187302062,Ideological,Reciprocation,0,Scam,010224b
4,3.76216677835328,Social,Reciprocation,0,Safe,026325S
3,11.6369725458208,General,Type,1,Scam,024
4,9.73025013245933,Health,Perceptual Contrast,1,Scam,007616c
3,43.4653692253778,Legal,Commitment/Consistency,0,Scam,024242
